Wavelength,H_blocker,K,L,M
1.40885,0.00205793,0.0135293,0.000957012,0.00162744
1.40924,0.00228664,0.0127854,0.00182414,0.00112104
1.40964,0.00432055,0.0115025,0.000936031,0.000372887
1.41004,0.00304386,0.0113912,0.00112367,0.00117516
1.41044,0.00161456,0.0119269,0.000573635,0.00142813
1.41084,0.00301187,0.0134735,0.00174284,0.0013485
1.41123,0.00274228,0.0138881,0.00127387,0.000335693
1.41163,0.00317554,0.0145905,0.00224471,0.00295496
1.41203,0.00308712,0.013248,0.000873089,0.00142765
1.41243,0.00216638,0.010442,0.00157618,0.000449419
1.41283,0.00383432,0.0121443,0.00113583,0.000757217
1.41323,0.00320843,0.0112829,0.00138164,0.000914812
1.41363,0.00247363,0.0114224,0.00233531,0.000335217
1.41403,0.00391939,0.0128317,0.00250077,0.000224352
1.41443,0.00322766,0.0127492,0.00067091,0.000952005
1.41483,0.0033474,0.0131392,0.00117874,0.00174284
1.41523,0.00514729,0.0113049,0.000346422,0.00182128
1.41563,0.0044504,0.0115092,0.000724077,0.00131702
1.41603,0.00483929,0.0120051,0.0020113,0.000651836
1.41643,0.00415942,0.0118461,0.0017271,0.000594139
1.41683,0.00416227,0.0136924,0.00154448,0.000611544
1.41723,0.0036247,0.0109003,0.00176191,0.000513077
1.41764,0.00533668,0.00940967,0.00181031,0.00151992
1.41804,0.00514853,0.0115271,0.000362396,0.00176907
1.41844,0.00605622,0.0111425,0.00132775,0.00057435
1.41884,0.00459185,0.0121303,0.00109744,0.00196552
1.41924,0.00567587,0.0107644,0.000952244,0.00110674
1.41965,0.00585707,0.0118377,0.000726461,0.000566482
1.42005,0.00634639,0.0126615,0.00166964,0.00143623
1.42045,0.00619647,0.0109386,0.00043416,0.000244379
1.42086,0.00785139,0.0103741,0.000560999,0.00167727
1.42126,0.00615592,0.0101147,0.00136757,0.0015986
1.42167,0.00670403,0.0105631,0.000260115,0.00101685
1.42207,0.00540881,0.010639,0.000580072,0.00163197
1.42248,0.00652249,0.00949216,0.000622034,0.00183582
1.42288,0.00707676,0.0113034,0.00142646,0.00162005
1.42328,0.00708429,0.0103409,0.001827,0.00133705
1.42369,0.00759038,0.0101354,0.00135922,0.00165033
1.4241,0.00745392,0.0115557,0.00159526,0.00145078
1.4245,0.00822595,0.0115836,0.00137615,0.000161409
1.42491,0.00907659,0.0102289,0.00142145,0.000561476
1.42531,0.00836064,0.009727,0.000185013,-3.58E-05
1.42572,0.00831531,0.0108607,0.000865459,0.000751972
1.42613,0.00914034,0.0102248,0.00116348,0.000575781
1.42653,0.00922826,0.00943923,0.00122523,0.00114846
1.42694,0.00933505,0.0104489,0.0021677,0.00191975
1.42735,0.00958622,0.0109975,0.00177956,0.00141406
1.42776,0.011264,0.0108612,0.00061965,0.00102115
1.42816,0.0112457,0.00999928,0.00107431,0.0015645
1.42857,0.0109306,0.00963259,0.00193954,0.00116134
1.42898,0.0124016,0.0105908,0.00077486,0.00174952
1.42939,0.0121195,0.00994801,0.00099206,0.002671
1.4298,0.0120946,0.0105834,0.00109434,0.00203085
1.43021,0.0133169,0.00989151,0.00107908,0.00144076
1.43062,0.014263,0.00985575,0.00140286,0.00119329
1.43102,0.0143904,0.00974941,0.00141478,0.00171876
1.43143,0.0152421,0.00943422,0.00116563,0.00149798
1.43184,0.0149299,0.0113637,0.00117326,0.00140095
1.43225,0.0150138,0.0109839,0.00120759,0.00103259
1.43266,0.0155312,0.0099225,0.000301361,0.00174499
